ID;Expressions;Pandas_Expressions;ID_DIR;Qtd_Words
1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
2;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
3;braille;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('braille',case=False,na=False)))];1.1.1;1
4;captcha;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('captcha',case=False,na=False)))];1.1.1;1
5;sensory experience;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('sensory experience',case=False,na=False)))];1.1.1;1
6;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
7;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)))];1.2.1;3
8;prerecorded;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('prerecorded',case=False,na=False)))];1.2.1;1
9;(media-only) & (disability);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('disability',case=False,na=False)))];1.2.1;2
10;(audio) & (prerecorded) & (caption);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('audio',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('prerecorded',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('disability',case=False,na=False)))];1.2.2;3
11;(hearing impairment) & (caption);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('hearing impairment',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('caption',case=False,na=False)))];1.2.2;2
12;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
13;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
14;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
15;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
16;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
17;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
18;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
19;(navigation) & (arbitrary);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('navigation',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('arbitrary',case=False,na=False)))];1.3.2;2
20;(sensory) & (instructions);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('sensory',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('instructions',case=False,na=False)))];1.3.3;2
21;(orientation);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('orientation',case=False,na=False)))];1.3.4;1
22;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)))];1.3.5;2
23;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
24;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
25;color blind;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('color blind',case=False,na=False)))];1.4.1;1
26;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False))))];1.4.2;3
27;autoplay;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('autoplay',case=False,na=False)))];1.4.2;1
28;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.3;2
29;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.3;3
30;(unreadable);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.3;1
31;(image of text);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('image of text',case=False,na=False)))];1.4.5;1
32;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.6;2
33;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.6;3
34;unreadable;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.6;1
35;screen glare;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('screen glare',case=False,na=False)))];1.4.6;1
36;(background) & (audio);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('background',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio',case=False,na=False)))];1.4.7;2
37;(unable || effort) & (listen);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('effort',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('listen',case=False,na=False))];1.4.7;3
38;format & text;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('format',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)))];1.4.8;2
39;choose & color;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('choose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('color',case=False,na=False)))];1.4.8;2
40;long lines;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('long lines',case=False,na=False)))];1.4.8;1
41;long text;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('long text',case=False,na=False)))];1.4.8;1
42;spacing;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('spacing',case=False,na=False)))];1.4.8;1
43;(image of text);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('image of text',case=False,na=False)))];1.4.9;1
44;(text) & (reflow);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('reflow',case=False,na=False)))];1.4.10;2
45;(scroll) & (dimensions);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('scroll',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('dimensions',case=False,na=False)))];1.4.10;2
46;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.11;2
47;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.11;3
48;(unreadable);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.11;1
49;(text || line) & (overlap);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('line',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('overlap',case=False,na=False))];1.4.12;3
51;(text) & (cut);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('cut',case=False,na=False)))];1.4.12;2
52;(text || line || content) & (space);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('line',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('content',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('space',case=False,na=False))];1.4.12;4
53;(text) & (hidden);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('hidden',case=False,na=False)))];1.4.12;2
54;tooltip;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('tooltip',case=False,na=False)))];1.4.13;1
55;hoverable;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('hoverable',case=False,na=False)))];1.4.13;1